bank,id,voice,duration,peak_dbfs,status,error
VB06,VOX_ORD_BOARD_02,Antonio - Grumpy Grandpa,1.35,-1.5,ok,
VB07,VOX_ORD_BOARD_02,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_ORD_BOARD_02,Austin - Deep Raspy,1.39,-1.5,ok,
VB01,VOX_ORD_OUT_01,Tony - Tough Cocky,1.02,-1.5,ok,
VB02,VOX_ORD_OUT_01,Syndicate - Top G,0.93,-1.5,ok,
VB03,VOX_ORD_OUT_01,Pauly - Brooklyn Wise Guy,1.21,-2.0,ok,
VB04,VOX_ORD_OUT_01,Dante - Dark Mafia,1.58,-1.5,ok,
VB05,VOX_ORD_OUT_01,David - Deep Southern,1.11,-4.7,ok,
VB06,VOX_ORD_OUT_01,Antonio - Grumpy Grandpa,1.25,-1.5,ok,
VB07,VOX_ORD_OUT_01,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_ORD_OUT_01,Austin - Deep Raspy,1.11,-1.5,ok,
VB01,VOX_ORD_OUT_02,Tony - Tough Cocky,1.02,-1.6,ok,
VB02,VOX_ORD_OUT_02,Syndicate - Top G,1.02,-1.6,ok,
VB03,VOX_ORD_OUT_02,Pauly - Brooklyn Wise Guy,1.16,-1.6,ok,
VB04,VOX_ORD_OUT_02,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_ORD_OUT_02,David - Deep Southern,1.11,-1.5,ok,
VB06,VOX_ORD_OUT_02,Antonio - Grumpy Grandpa,1.11,-3.0,ok,
VB07,VOX_ORD_OUT_02,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_ORD_OUT_02,Austin - Deep Raspy,1.02,-1.5,ok,
VB01,VOX_ORD_FLEE_01,Tony - Tough Cocky,1.21,-1.5,ok,
VB02,VOX_ORD_FLEE_01,Syndicate - Top G,1.21,-1.5,ok,
VB03,VOX_ORD_FLEE_01,Pauly - Brooklyn Wise Guy,1.63,-1.6,ok,
VB04,VOX_ORD_FLEE_01,Dante - Dark Mafia,1.58,-1.5,ok,
VB05,VOX_ORD_FLEE_01,David - Deep Southern,1.44,-3.9,ok,
VB06,VOX_ORD_FLEE_01,Antonio - Grumpy Grandpa,1.39,-1.5,ok,
VB07,VOX_ORD_FLEE_01,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_ORD_FLEE_01,Austin - Deep Raspy,1.30,-1.5,ok,
VB01,VOX_ORD_FLEE_02,Tony - Tough Cocky,0.93,-1.5,ok,
VB02,VOX_ORD_FLEE_02,Syndicate - Top G,0.88,-1.6,ok,
VB03,VOX_ORD_FLEE_02,Pauly - Brooklyn Wise Guy,1.21,-2.5,ok,
VB04,VOX_ORD_FLEE_02,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_ORD_FLEE_02,David - Deep Southern,0.98,-5.4,ok,
VB06,VOX_ORD_FLEE_02,Antonio - Grumpy Grandpa,1.07,-1.5,ok,
VB07,VOX_ORD_FLEE_02,Jerry B. - NY Italian,1.11,-1.5,ok,
VB08,VOX_ORD_FLEE_02,Austin - Deep Raspy,1.02,-1.5,ok,
VB01,VOX_ORD_FLEE_03,Tony - Tough Cocky,0.93,-1.5,ok,
VB02,VOX_ORD_FLEE_03,Syndicate - Top G,0.70,-1.5,ok,
VB03,VOX_ORD_FLEE_03,Pauly - Brooklyn Wise Guy,1.11,-2.0,ok,
VB04,VOX_ORD_FLEE_03,Dante - Dark Mafia,0.98,-1.5,ok,
VB05,VOX_ORD_FLEE_03,David - Deep Southern,0.93,-1.7,ok,
VB06,VOX_ORD_FLEE_03,Antonio - Grumpy Grandpa,0.88,-1.6,ok,
VB07,VOX_ORD_FLEE_03,Jerry B. - NY Italian,0.84,-1.5,ok,
VB08,VOX_ORD_FLEE_03,Austin - Deep Raspy,0.93,-1.5,ok,
VB01,VOX_ORD_AWAY_01,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_ORD_AWAY_01,Syndicate - Top G,1.35,-1.5,ok,
VB03,VOX_ORD_AWAY_01,Pauly - Brooklyn Wise Guy,1.53,-2.8,ok,
VB04,VOX_ORD_AWAY_01,Dante - Dark Mafia,1.67,-2.7,ok,
VB05,VOX_ORD_AWAY_01,David - Deep Southern,1.35,-2.9,ok,
VB06,VOX_ORD_AWAY_01,Antonio - Grumpy Grandpa,1.30,-3.6,ok,
VB07,VOX_ORD_AWAY_01,Jerry B. - NY Italian,1.39,-1.5,ok,
VB08,VOX_ORD_AWAY_01,Austin - Deep Raspy,1.53,-1.5,ok,
VB01,VOX_ORD_AWAY_02,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_ORD_AWAY_02,Syndicate - Top G,1.35,-1.5,ok,
VB03,VOX_ORD_AWAY_02,Pauly - Brooklyn Wise Guy,1.44,-2.6,ok,
VB04,VOX_ORD_AWAY_02,Dante - Dark Mafia,1.90,-1.5,ok,
VB05,VOX_ORD_AWAY_02,David - Deep Southern,1.58,-1.5,ok,
VB06,VOX_ORD_AWAY_02,Antonio - Grumpy Grandpa,1.35,-1.5,ok,
VB07,VOX_ORD_AWAY_02,Jerry B. - NY Italian,1.39,-1.5,ok,
VB08,VOX_ORD_AWAY_02,Austin - Deep Raspy,1.49,-1.6,ok,
VB01,VOX_ORD_BAG_01,Tony - Tough Cocky,0.93,-1.6,ok,
VB02,VOX_ORD_BAG_01,Syndicate - Top G,0.98,-1.9,ok,
VB03,VOX_ORD_BAG_01,Pauly - Brooklyn Wise Guy,1.39,-1.6,ok,
VB04,VOX_ORD_BAG_01,Dante - Dark Mafia,1.02,-1.5,ok,
VB05,VOX_ORD_BAG_01,David - Deep Southern,1.07,-3.0,ok,
VB06,VOX_ORD_BAG_01,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_ORD_BAG_01,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_ORD_BAG_01,Austin - Deep Raspy,1.11,-1.5,ok,
VB01,VOX_ORD_BAG_02,Tony - Tough Cocky,1.02,-1.5,ok,
VB02,VOX_ORD_BAG_02,Syndicate - Top G,0.93,-2.5,ok,
VB03,VOX_ORD_BAG_02,Pauly - Brooklyn Wise Guy,1.25,-3.0,ok,
VB04,VOX_ORD_BAG_02,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_ORD_BAG_02,David - Deep Southern,1.11,-2.1,ok,
VB06,VOX_ORD_BAG_02,Antonio - Grumpy Grandpa,1.25,-1.5,ok,
VB07,VOX_ORD_BAG_02,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_ORD_BAG_02,Austin - Deep Raspy,0.93,-1.5,ok,
VB01,VOX_ORD_WITNESS_01,Tony - Tough Cocky,1.35,-1.6,ok,
VB02,VOX_ORD_WITNESS_01,Syndicate - Top G,1.39,-1.9,ok,
VB03,VOX_ORD_WITNESS_01,Pauly - Brooklyn Wise Guy,1.35,-2.7,ok,
VB04,VOX_ORD_WITNESS_01,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_ORD_WITNESS_01,David - Deep Southern,1.39,-2.3,ok,
VB06,VOX_ORD_WITNESS_01,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_ORD_WITNESS_01,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_ORD_WITNESS_01,Austin - Deep Raspy,1.30,-1.8,ok,
VB01,VOX_ORD_WITNESS_02,Tony - Tough Cocky,2.09,-1.6,ok,
VB02,VOX_ORD_WITNESS_02,Syndicate - Top G,1.95,-1.6,ok,
VB03,VOX_ORD_WITNESS_02,Pauly - Brooklyn Wise Guy,2.60,-1.6,ok,
VB04,VOX_ORD_WITNESS_02,Dante - Dark Mafia,2.69,-1.5,ok,
VB05,VOX_ORD_WITNESS_02,David - Deep Southern,2.28,-2.1,ok,
VB06,VOX_ORD_WITNESS_02,Antonio - Grumpy Grandpa,2.41,-1.6,ok,
VB07,VOX_ORD_WITNESS_02,Jerry B. - NY Italian,1.90,-1.5,ok,
VB08,VOX_ORD_WITNESS_02,Austin - Deep Raspy,1.86,-1.5,ok,
VB01,VOX_ORD_INSIDE_01,Tony - Tough Cocky,1.49,-1.5,ok,
VB02,VOX_ORD_INSIDE_01,Syndicate - Top G,1.53,-1.6,ok,
VB03,VOX_ORD_INSIDE_01,Pauly - Brooklyn Wise Guy,1.86,-1.5,ok,
VB04,VOX_ORD_INSIDE_01,Dante - Dark Mafia,1.81,-1.6,ok,
VB05,VOX_ORD_INSIDE_01,David - Deep Southern,1.58,-2.2,ok,
VB06,VOX_ORD_INSIDE_01,Antonio - Grumpy Grandpa,1.53,-1.5,ok,
VB07,VOX_ORD_INSIDE_01,Jerry B. - NY Italian,1.11,-1.5,ok,
VB08,VOX_ORD_INSIDE_01,Austin - Deep Raspy,1.39,-1.5,ok,
VB01,VOX_ORD_INSIDE_02,Tony - Tough Cocky,1.76,-1.6,ok,
VB02,VOX_ORD_INSIDE_02,Syndicate - Top G,1.63,-1.5,ok,
VB03,VOX_ORD_INSIDE_02,Pauly - Brooklyn Wise Guy,1.95,-3.0,ok,
VB04,VOX_ORD_INSIDE_02,Dante - Dark Mafia,2.32,-1.5,ok,
VB05,VOX_ORD_INSIDE_02,David - Deep Southern,1.81,-3.6,ok,
VB06,VOX_ORD_INSIDE_02,Antonio - Grumpy Grandpa,2.28,-1.5,ok,
VB07,VOX_ORD_INSIDE_02,Jerry B. - NY Italian,1.63,-1.5,ok,
VB08,VOX_ORD_INSIDE_02,Austin - Deep Raspy,1.90,-1.5,ok,
VB01,VOX_ORD_OUTSIDE_01,Tony - Tough Cocky,1.21,-1.5,ok,
VB02,VOX_ORD_OUTSIDE_01,Syndicate - Top G,1.11,-1.7,ok,
VB03,VOX_ORD_OUTSIDE_01,Pauly - Brooklyn Wise Guy,1.30,-2.8,ok,
VB04,VOX_ORD_OUTSIDE_01,Dante - Dark Mafia,1.67,-1.7,ok,
VB05,VOX_ORD_OUTSIDE_01,David - Deep Southern,1.30,-2.4,ok,
VB06,VOX_ORD_OUTSIDE_01,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_ORD_OUTSIDE_01,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_ORD_OUTSIDE_01,Austin - Deep Raspy,1.21,-1.5,ok,
VB01,VOX_ORD_OUTSIDE_02,Tony - Tough Cocky,1.07,-1.5,ok,
VB02,VOX_ORD_OUTSIDE_02,Syndicate - Top G,1.11,-1.5,ok,
VB03,VOX_ORD_OUTSIDE_02,Pauly - Brooklyn Wise Guy,1.21,-2.6,ok,
VB04,VOX_ORD_OUTSIDE_02,Dante - Dark Mafia,1.25,-1.5,ok,
VB05,VOX_ORD_OUTSIDE_02,David - Deep Southern,1.25,-2.3,ok,
VB06,VOX_ORD_OUTSIDE_02,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_ORD_OUTSIDE_02,Jerry B. - NY Italian,1.11,-1.5,ok,
VB08,VOX_ORD_OUTSIDE_02,Austin - Deep Raspy,1.02,-1.5,ok,
VB01,VOX_RKT_APPROACH_01,Tony - Tough Cocky,1.35,-1.5,ok,
VB02,VOX_RKT_APPROACH_01,Syndicate - Top G,1.39,-1.5,ok,
VB03,VOX_RKT_APPROACH_01,Pauly - Brooklyn Wise Guy,1.39,-2.4,ok,
VB04,VOX_RKT_APPROACH_01,Dante - Dark Mafia,1.63,-1.5,ok,
VB05,VOX_RKT_APPROACH_01,David - Deep Southern,1.39,-1.7,ok,
VB06,VOX_RKT_APPROACH_01,Antonio - Grumpy Grandpa,1.39,-1.5,ok,
VB07,VOX_RKT_APPROACH_01,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_RKT_APPROACH_01,Austin - Deep Raspy,1.39,-1.6,ok,
VB01,VOX_RKT_APPROACH_02,Tony - Tough Cocky,1.30,-1.5,ok,
VB02,VOX_RKT_APPROACH_02,Syndicate - Top G,1.53,-1.5,ok,
VB03,VOX_RKT_APPROACH_02,Pauly - Brooklyn Wise Guy,1.67,-1.5,ok,
VB04,VOX_RKT_APPROACH_02,Dante - Dark Mafia,2.00,-1.5,ok,
VB05,VOX_RKT_APPROACH_02,David - Deep Southern,1.49,-1.5,ok,
VB06,VOX_RKT_APPROACH_02,Antonio - Grumpy Grandpa,1.35,-1.5,ok,
VB07,VOX_RKT_APPROACH_02,Jerry B. - NY Italian,1.49,-1.5,ok,
VB08,VOX_RKT_APPROACH_02,Austin - Deep Raspy,1.58,-1.5,ok,
VB01,VOX_RKT_DEMAND_01,Tony - Tough Cocky,1.76,-1.5,ok,
VB02,VOX_RKT_DEMAND_01,Syndicate - Top G,1.72,-1.7,ok,
VB03,VOX_RKT_DEMAND_01,Pauly - Brooklyn Wise Guy,1.95,-3.2,ok,
VB04,VOX_RKT_DEMAND_01,Dante - Dark Mafia,2.00,-1.5,ok,
VB05,VOX_RKT_DEMAND_01,David - Deep Southern,1.76,-3.2,ok,
VB06,VOX_RKT_DEMAND_01,Antonio - Grumpy Grandpa,1.95,-1.5,ok,
VB07,VOX_RKT_DEMAND_01,Jerry B. - NY Italian,1.67,-1.5,ok,
VB08,VOX_RKT_DEMAND_01,Austin - Deep Raspy,2.00,-1.5,ok,
VB01,VOX_RKT_DEMAND_02,Tony - Tough Cocky,1.39,-1.6,ok,
VB02,VOX_RKT_DEMAND_02,Syndicate - Top G,1.39,-1.5,ok,
VB03,VOX_RKT_DEMAND_02,Pauly - Brooklyn Wise Guy,1.53,-2.2,ok,
VB04,VOX_RKT_DEMAND_02,Dante - Dark Mafia,1.44,-1.5,ok,
VB05,VOX_RKT_DEMAND_02,David - Deep Southern,1.35,-3.1,ok,
VB06,VOX_RKT_DEMAND_02,Antonio - Grumpy Grandpa,1.58,-1.5,ok,
VB07,VOX_RKT_DEMAND_02,Jerry B. - NY Italian,1.35,-1.5,ok,
VB08,VOX_RKT_DEMAND_02,Austin - Deep Raspy,1.44,-1.5,ok,
VB01,VOX_RKT_THREAT_01,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_RKT_THREAT_01,Syndicate - Top G,1.39,-2.2,ok,
VB03,VOX_RKT_THREAT_01,Pauly - Brooklyn Wise Guy,1.67,-1.6,ok,
VB04,VOX_RKT_THREAT_01,Dante - Dark Mafia,1.90,-1.5,ok,
VB05,VOX_RKT_THREAT_01,David - Deep Southern,1.53,-1.9,ok,
VB06,VOX_RKT_THREAT_01,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_RKT_THREAT_01,Jerry B. - NY Italian,1.25,-1.7,ok,
VB08,VOX_RKT_THREAT_01,Austin - Deep Raspy,1.25,-1.5,ok,
VB01,VOX_RKT_THREAT_02,Tony - Tough Cocky,1.44,-1.6,ok,
VB02,VOX_RKT_THREAT_02,Syndicate - Top G,1.35,-1.5,ok,
VB03,VOX_RKT_THREAT_02,Pauly - Brooklyn Wise Guy,1.49,-3.9,ok,
VB04,VOX_RKT_THREAT_02,Dante - Dark Mafia,1.67,-1.5,ok,
VB05,VOX_RKT_THREAT_02,David - Deep Southern,1.44,-2.8,ok,
VB06,VOX_RKT_THREAT_02,Antonio - Grumpy Grandpa,1.44,-2.0,ok,
VB07,VOX_RKT_THREAT_02,Jerry B. - NY Italian,1.35,-1.5,ok,
VB08,VOX_RKT_THREAT_02,Austin - Deep Raspy,1.49,-1.5,ok,
VB01,VOX_RKT_COLLECT_01,Tony - Tough Cocky,0.93,-1.5,ok,
VB02,VOX_RKT_COLLECT_01,Syndicate - Top G,1.02,-1.5,ok,
VB03,VOX_RKT_COLLECT_01,Pauly - Brooklyn Wise Guy,1.30,-2.0,ok,
VB04,VOX_RKT_COLLECT_01,Dante - Dark Mafia,1.16,-1.5,ok,
VB05,VOX_RKT_COLLECT_01,David - Deep Southern,1.21,-2.3,ok,
VB06,VOX_RKT_COLLECT_01,Antonio - Grumpy Grandpa,1.21,-1.5,ok,
VB07,VOX_RKT_COLLECT_01,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_RKT_COLLECT_01,Austin - Deep Raspy,1.25,-1.5,ok,
VB01,VOX_RKT_COLLECT_02,Tony - Tough Cocky,1.44,-1.5,ok,
VB02,VOX_RKT_COLLECT_02,Syndicate - Top G,1.35,-1.6,ok,
VB03,VOX_RKT_COLLECT_02,Pauly - Brooklyn Wise Guy,1.67,-2.0,ok,
VB04,VOX_RKT_COLLECT_02,Dante - Dark Mafia,1.81,-1.5,ok,
VB05,VOX_RKT_COLLECT_02,David - Deep Southern,1.44,-2.5,ok,
VB06,VOX_RKT_COLLECT_02,Antonio - Grumpy Grandpa,1.53,-1.5,ok,
VB07,VOX_RKT_COLLECT_02,Jerry B. - NY Italian,1.44,-1.5,ok,
VB08,VOX_RKT_COLLECT_02,Austin - Deep Raspy,1.35,-1.5,ok,
VB01,VOX_RKT_SHAKE_01,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_RKT_SHAKE_01,Syndicate - Top G,1.35,-6.2,ok,
VB03,VOX_RKT_SHAKE_01,Pauly - Brooklyn Wise Guy,1.81,-2.6,ok,
VB04,VOX_RKT_SHAKE_01,Dante - Dark Mafia,2.00,-1.5,ok,
VB05,VOX_RKT_SHAKE_01,David - Deep Southern,1.53,-4.5,ok,
VB06,VOX_RKT_SHAKE_01,Antonio - Grumpy Grandpa,1.63,-1.5,ok,
VB07,VOX_RKT_SHAKE_01,Jerry B. - NY Italian,1.44,-1.5,ok,
VB08,VOX_RKT_SHAKE_01,Austin - Deep Raspy,1.53,-1.5,ok,
VB01,VOX_RKT_SHAKE_02,Tony - Tough Cocky,1.90,-1.5,ok,
VB02,VOX_RKT_SHAKE_02,Syndicate - Top G,2.04,-1.7,ok,
VB03,VOX_RKT_SHAKE_02,Pauly - Brooklyn Wise Guy,2.14,-1.6,ok,
VB04,VOX_RKT_SHAKE_02,Dante - Dark Mafia,2.46,-1.5,ok,
VB05,VOX_RKT_SHAKE_02,David - Deep Southern,2.23,-2.6,ok,
VB06,VOX_RKT_SHAKE_02,Antonio - Grumpy Grandpa,2.18,-1.5,ok,
VB07,VOX_RKT_SHAKE_02,Jerry B. - NY Italian,1.53,-1.5,ok,
VB08,VOX_RKT_SHAKE_02,Austin - Deep Raspy,2.60,-1.5,ok,
VB01,VOX_RKT_HOLDOUT_01,Tony - Tough Cocky,1.63,-1.5,ok,
VB02,VOX_RKT_HOLDOUT_01,Syndicate - Top G,1.58,-1.6,ok,
VB03,VOX_RKT_HOLDOUT_01,Pauly - Brooklyn Wise Guy,1.81,-3.1,ok,
VB04,VOX_RKT_HOLDOUT_01,Dante - Dark Mafia,2.00,-1.5,ok,
VB05,VOX_RKT_HOLDOUT_01,David - Deep Southern,1.63,-2.2,ok,
VB06,VOX_RKT_HOLDOUT_01,Antonio - Grumpy Grandpa,2.00,-1.5,ok,
VB07,VOX_RKT_HOLDOUT_01,Jerry B. - NY Italian,1.63,-1.5,ok,
VB08,VOX_RKT_HOLDOUT_01,Austin - Deep Raspy,1.58,-1.5,ok,
VB01,VOX_RKT_HOLDOUT_02,Tony - Tough Cocky,1.16,-1.7,ok,
VB02,VOX_RKT_HOLDOUT_02,Syndicate - Top G,1.44,-1.6,ok,
VB03,VOX_RKT_HOLDOUT_02,Pauly - Brooklyn Wise Guy,1.63,-4.0,ok,
VB04,VOX_RKT_HOLDOUT_02,Dante - Dark Mafia,1.67,-1.5,ok,
VB05,VOX_RKT_HOLDOUT_02,David - Deep Southern,1.53,-2.9,ok,
VB06,VOX_RKT_HOLDOUT_02,Antonio - Grumpy Grandpa,1.30,-1.5,ok,
VB07,VOX_RKT_HOLDOUT_02,Jerry B. - NY Italian,1.49,-1.5,ok,
VB08,VOX_RKT_HOLDOUT_02,Austin - Deep Raspy,1.25,-1.5,ok,
VB01,VOX_RKT_SMASH_01,Tony - Tough Cocky,1.35,-1.6,ok,
VB02,VOX_RKT_SMASH_01,Syndicate - Top G,1.21,-1.5,ok,
VB03,VOX_RKT_SMASH_01,Pauly - Brooklyn Wise Guy,1.58,-1.5,ok,
VB04,VOX_RKT_SMASH_01,Dante - Dark Mafia,1.63,-1.6,ok,
VB05,VOX_RKT_SMASH_01,David - Deep Southern,1.53,-1.7,ok,
VB06,VOX_RKT_SMASH_01,Antonio - Grumpy Grandpa,1.35,-1.5,ok,
VB07,VOX_RKT_SMASH_01,Jerry B. - NY Italian,1.30,-1.5,ok,
VB08,VOX_RKT_SMASH_01,Austin - Deep Raspy,1.35,-1.6,ok,
VB01,VOX_RKT_SMASH_02,Tony - Tough Cocky,1.30,-1.5,ok,
VB02,VOX_RKT_SMASH_02,Syndicate - Top G,1.39,-1.5,ok,
VB03,VOX_RKT_SMASH_02,Pauly - Brooklyn Wise Guy,1.53,-1.6,ok,
VB04,VOX_RKT_SMASH_02,Dante - Dark Mafia,1.67,-1.6,ok,
VB05,VOX_RKT_SMASH_02,David - Deep Southern,1.21,-4.8,ok,
VB06,VOX_RKT_SMASH_02,Antonio - Grumpy Grandpa,1.39,-1.5,ok,
VB07,VOX_RKT_SMASH_02,Jerry B. - NY Italian,1.30,-1.5,ok,
VB08,VOX_RKT_SMASH_02,Austin - Deep Raspy,1.49,-1.5,ok,
VB01,VOX_RKT_TORCH_01,Tony - Tough Cocky,1.25,-1.6,ok,
VB02,VOX_RKT_TORCH_01,Syndicate - Top G,1.11,-2.5,ok,
VB03,VOX_RKT_TORCH_01,Pauly - Brooklyn Wise Guy,1.39,-2.4,ok,
VB04,VOX_RKT_TORCH_01,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_RKT_TORCH_01,David - Deep Southern,1.35,-2.1,ok,
VB06,VOX_RKT_TORCH_01,Antonio - Grumpy Grandpa,1.63,-1.5,ok,
VB07,VOX_RKT_TORCH_01,Jerry B. - NY Italian,1.21,-1.5,ok,
VB08,VOX_RKT_TORCH_01,Austin - Deep Raspy,1.21,-1.5,ok,
VB01,VOX_RKT_TORCH_02,Tony - Tough Cocky,1.39,-1.5,ok,
VB02,VOX_RKT_TORCH_02,Syndicate - Top G,1.30,-1.5,ok,
VB03,VOX_RKT_TORCH_02,Pauly - Brooklyn Wise Guy,1.58,-2.6,ok,
VB04,VOX_RKT_TORCH_02,Dante - Dark Mafia,1.76,-1.5,ok,
VB05,VOX_RKT_TORCH_02,David - Deep Southern,1.49,-2.3,ok,
VB06,VOX_RKT_TORCH_02,Antonio - Grumpy Grandpa,1.16,-1.5,ok,
VB07,VOX_RKT_TORCH_02,Jerry B. - NY Italian,1.25,-1.5,ok,
VB08,VOX_RKT_TORCH_02,Austin - Deep Raspy,1.30,-1.6,ok,
VB01,VOX_RKT_ROB_01,Tony - Tough Cocky,1.58,-1.6,ok,
VB02,VOX_RKT_ROB_01,Syndicate - Top G,1.58,-1.5,ok,
VB03,VOX_RKT_ROB_01,Pauly - Brooklyn Wise Guy,1.72,-2.2,ok,
VB04,VOX_RKT_ROB_01,Dante - Dark Mafia,1.86,-2.5,ok,
VB05,VOX_RKT_ROB_01,David - Deep Southern,1.58,-2.4,ok,
VB06,VOX_RKT_ROB_01,Antonio - Grumpy Grandpa,1.39,-1.5,ok,
VB07,VOX_RKT_ROB_01,Jerry B. - NY Italian,1.44,-1.5,ok,
VB08,VOX_RKT_ROB_01,Austin - Deep Raspy,1.44,-1.5,ok,
VB01,VOX_RKT_ROB_02,Tony - Tough Cocky,1.35,-1.6,ok,
VB02,VOX_RKT_ROB_02,Syndicate - Top G,1.35,-1.7,ok,
VB03,VOX_RKT_ROB_02,Pauly - Brooklyn Wise Guy,1.58,-2.0,ok,
VB04,VOX_RKT_ROB_02,Dante - Dark Mafia,1.76,-1.6,ok,
VB05,VOX_RKT_ROB_02,David - Deep Southern,1.63,-1.5,ok,
VB06,VOX_RKT_ROB_02,Antonio - Grumpy Grandpa,1.53,-1.6,ok,
VB07,VOX_RKT_ROB_02,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_RKT_ROB_02,Austin - Deep Raspy,1.44,-1.5,ok,
VB01,VOX_RKT_GUARD_01,Tony - Tough Cocky,1.21,-1.5,ok,
VB02,VOX_RKT_GUARD_01,Syndicate - Top G,1.11,-1.5,ok,
VB03,VOX_RKT_GUARD_01,Pauly - Brooklyn Wise Guy,1.39,-3.6,ok,
VB04,VOX_RKT_GUARD_01,Dante - Dark Mafia,1.30,-1.5,ok,
VB05,VOX_RKT_GUARD_01,David - Deep Southern,1.02,-2.8,ok,
VB06,VOX_RKT_GUARD_01,Antonio - Grumpy Grandpa,1.39,-1.5,ok,
VB07,VOX_RKT_GUARD_01,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_RKT_GUARD_01,Austin - Deep Raspy,1.07,-1.5,ok,
VB01,VOX_RKT_GUARD_02,Tony - Tough Cocky,1.30,-1.5,ok,
VB02,VOX_RKT_GUARD_02,Syndicate - Top G,1.44,-4.8,ok,
VB03,VOX_RKT_GUARD_02,Pauly - Brooklyn Wise Guy,1.72,-2.4,ok,
VB04,VOX_RKT_GUARD_02,Dante - Dark Mafia,1.86,-1.5,ok,
VB05,VOX_RKT_GUARD_02,David - Deep Southern,1.53,-2.3,ok,
VB06,VOX_RKT_GUARD_02,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_RKT_GUARD_02,Jerry B. - NY Italian,1.30,-1.6,ok,
VB08,VOX_RKT_GUARD_02,Austin - Deep Raspy,1.49,-1.5,ok,
VBOF,VOX_RKT_BUY_01,Gotham Boss,1.76,-1.5,ok,
VBOF,VOX_RKT_REPAIR_01,Gotham Boss,1.67,-1.6,ok,
VBOF,VOX_RKT_HIDEOUT_01,Gotham Boss,1.76,-1.5,ok,
VBOF,VOX_RKT_HIDEOUT_02,Gotham Boss,1.72,-1.5,ok,
VBOF,VOX_JOB_EXTORT_01,Gotham Boss,1.81,-1.6,ok,
VBOF,VOX_JOB_INTIMIDATE_01,Gotham Boss,2.00,-1.5,ok,
VBOF,VOX_JOB_COLLECTPROTECTION_01,Gotham Boss,1.44,-1.5,ok,
VBOF,VOX_JOB_ADJUSTPROTECTION_01,Gotham Boss,1.76,-1.5,ok,
VBOF,VOX_JOB_ASSAULT_01,Gotham Boss,1.49,-1.5,ok,
VBOF,VOX_JOB_SMASHUP_01,Gotham Boss,2.04,-1.5,ok,
VBOF,VOX_JOB_RAID_01,Gotham Boss,1.39,-1.8,ok,
VBOF,VOX_JOB_TORCH_01,Gotham Boss,1.44,-1.5,ok,
VBOF,VOX_JOB_BOMB_01,Gotham Boss,1.39,-1.6,ok,
VBOF,VOX_JOB_KILL_01,Gotham Boss,1.63,-1.5,ok,
VBOF,VOX_JOB_KIDNAP_01,Gotham Boss,1.30,-2.0,ok,
VBOF,VOX_JOB_PATROL_01,Gotham Boss,2.37,-1.5,ok,
VBOF,VOX_JOB_GUARD_01,Gotham Boss,1.49,-1.5,ok,
VBOF,VOX_JOB_AMBUSH_01,Gotham Boss,1.53,-1.5,ok,
VBOF,VOX_JOB_EXPLORE_01,Gotham Boss,1.76,-1.5,ok,
VBOF,VOX_JOB_BUYPREMISES_01,Gotham Boss,1.58,-1.5,ok,
VBOF,VOX_JOB_SETUPBUSINESS_01,Gotham Boss,1.58,-1.5,ok,
VBOF,VOX_JOB_RUNBUSINESS_01,Gotham Boss,2.00,-1.5,ok,
VBOF,VOX_JOB_AUDIT_01,Gotham Boss,1.21,-1.5,ok,
VBOF,VOX_JOB_RECRUIT_01,Gotham Boss,1.25,-1.5,ok,
VBOF,VOX_JOB_BRIBE_01,Gotham Boss,1.72,-1.6,ok,
VBOF,VOX_JOB_EMPLOYPOLICE_01,Gotham Boss,1.72,-1.5,ok,
